Teams,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS,Start Date
"Zimbabwe v Australia at Harare, 2014",1,1,0,0,0,-,58.33,7.00,1,350,-,25 Aug 2014
"Australia v South Africa at Harare, 2014",1,0,1,0,0,0.000,46.71,6.54,1,327,-,27 Aug 2014
"Zimbabwe v Australia at Harare, 2014",1,0,1,0,0,0.000,23.22,4.18,1,209,-,31 Aug 2014
"Australia v South Africa at Harare, 2014",1,1,0,0,0,-,40.28,5.64,1,282,-,2 Sep 2014
"Australia v South Africa at Harare, 2014",1,0,1,0,0,0.000,24.11,4.34,1,217,-,6 Sep 2014
"Australia v Pakistan at Sharjah, 2014/15",1,1,0,0,0,-,31.87,5.10,1,255,-,7 Oct 2014
"Australia v Pakistan at Dubai (DSC), 2014/15",1,1,0,0,0,-,43.40,5.00,1,217,-,10 Oct 2014
"Australia v Pakistan at Abu Dhabi, 2014/15",1,1,0,0,0,-,25.66,4.62,1,231,-,12 Oct 2014
"Australia v South Africa at Perth, 2014/15",1,1,0,0,0,-,37.50,6.00,1,300,-,14 Nov 2014
"Australia v South Africa at Perth, 2014/15",1,0,1,0,0,0.000,15.40,3.69,1,154,154,16 Nov 2014
"Australia v South Africa at Canberra, 2014/15",1,1,0,0,0,-,65.80,6.58,1,329,-,19 Nov 2014
"Australia v South Africa at Melbourne, 2014/15",1,1,0,0,0,-,38.28,5.46,1,268,-,21 Nov 2014
"Australia v South Africa at Sydney, 2014/15",1,1,0,0,0,-,34.37,5.83,1,275,-,23 Nov 2014
"Australia v England at Sydney, 2014/15",1,1,0,0,0,-,33.57,5.89,1,235,-,16 Jan 2015
"Australia v India at Melbourne, 2014/15",1,1,0,0,0,-,44.83,5.48,1,269,-,18 Jan 2015
"Australia v England at Hobart, 2014/15",1,1,0,0,0,-,43.42,6.10,1,304,-,23 Jan 2015
"Australia v India at Sydney, 2014/15",1,0,0,0,1,0.000,-,-,0,0,-,26 Jan 2015
"Australia v England at Perth, 2014/15",1,1,0,0,0,-,34.75,5.56,1,278,-,1 Feb 2015
"Australia v England at Melbourne, 2014/15",1,1,0,0,0,-,38.00,6.84,1,342,-,14 Feb 2015
"New Zealand v Australia at Auckland, 2014/15",1,0,1,0,0,0.000,15.10,4.67,1,151,151,28 Feb 2015
"Australia v Afghanistan at Perth, 2014/15",1,1,0,0,0,-,69.50,8.34,1,417,-,4 Mar 2015
"Australia v Sri Lanka at Sydney, 2014/15",1,1,0,0,0,-,41.77,7.52,1,376,-,8 Mar 2015
"Australia v Scotland at Hobart, 2014/15",1,1,0,0,0,-,44.33,8.67,1,133,-,14 Mar 2015
"Australia v Pakistan at Adelaide, 2014/15",1,1,0,0,0,-,54.00,6.38,1,216,-,20 Mar 2015
"Australia v India at Sydney, 2014/15",1,1,0,0,0,-,46.85,6.56,1,328,-,26 Mar 2015
"Australia v New Zealand at Melbourne, 2014/15",1,1,0,0,0,-,62.00,5.60,1,186,-,29 Mar 2015
"Ireland v Australia at Belfast, 2015",1,1,0,0,0,-,37.00,5.50,1,222,-,27 Aug 2015
"England v Australia at Southampton, 2015",1,1,0,0,0,-,50.83,6.10,1,305,-,3 Sep 2015
"England v Australia at Lord's, 2015",1,1,0,0,0,-,44.14,6.30,1,309,-,5 Sep 2015
"England v Australia at Manchester, 2015",1,0,1,0,0,0.000,20.70,4.70,1,207,207,8 Sep 2015
"England v Australia at Leeds, 2015",1,0,1,0,0,0.000,42.71,5.98,1,299,-,11 Sep 2015
"England v Australia at Manchester, 2015",1,1,0,0,0,-,70.00,5.75,1,140,-,13 Sep 2015
