Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli (INDIA),2014-2019,92,91,19,5088,160*,70.66,5291,96.16,21,19,3,455,67
RG Sharma (INDIA),2014-2019,82,82,11,4489,264,63.22,4620,97.16,18,18,4,416,153
S Dhawan (INDIA),2014-2019,88,88,5,3866,137,46.57,4108,94.10,10,22,2,482,53
DA Warner (AUS),2014-2018,64,63,4,3056,179,51.79,2936,104.08,12,9,1,326,54
SPD Smith (AUS),2014-2018,74,71,8,3032,164,48.12,3519,86.16,8,19,3,260,27
AJ Finch (AUS),2014-2019,76,73,1,2672,135,37.11,3035,88.03,8,16,6,267,60
AM Rahane (INDIA),2014-2018,67,64,3,2449,111,40.14,3041,80.53,3,21,3,243,29
MS Dhoni (INDIA),2014-2019,95,72,18,2369,134,43.87,2861,82.80,1,16,2,173,47
GJ Maxwell (AUS),2014-2019,66,58,4,1706,102,31.59,1413,120.73,1,10,7,180,47
AT Rayudu (INDIA),2014-2019,46,42,13,1503,124*,51.82,1823,82.44,3,9,3,130,28
GJ Bailey (AUS),2014-2016,51,48,4,1397,112,31.75,1843,75.80,1,10,2,97,21
MR Marsh (AUS),2014-2018,49,45,8,1389,102*,37.54,1479,93.91,1,11,4,115,37
TM Head (AUS),2016-2018,42,39,2,1273,128,34.40,1414,90.02,1,10,1,135,16
SK Raina (INDIA),2014-2018,37,32,3,1019,110*,35.13,974,104.62,2,7,3,85,30
KM Jadhav (INDIA),2014-2019,54,35,12,1002,120,43.56,938,106.82,2,4,2,104,18
MS Wade (AUS),2014-2017,52,42,9,985,100*,29.84,1015,97.04,1,6,1,72,21
SE Marsh (AUS),2015-2019,18,18,0,869,131,48.27,933,93.14,4,3,0,71,15
MP Stoinis (AUS),2015-2019,24,24,5,807,146*,42.47,833,96.87,1,5,1,59,34
HH Pandya (INDIA),2016-2019,45,29,4,731,83,29.24,627,116.58,0,4,2,48,36
UT Khawaja (AUS),2016-2019,18,17,1,569,98,35.56,685,83.06,0,5,1,53,8
JP Faulkner (AUS),2014-2017,45,36,17,526,50*,27.68,556,94.60,0,1,4,49,8
RA Jadeja (INDIA),2014-2019,50,32,13,523,87,27.52,561,93.22,0,2,0,38,7
SR Watson (AUS),2014-2015,17,17,3,501,82,35.78,538,93.12,0,3,1,46,11
KD Karthik (INDIA),2014-2019,24,21,10,475,64*,43.18,643,73.87,0,2,2,41,3
MK Pandey (INDIA),2015-2018,23,18,6,440,104*,36.66,479,91.85,1,2,2,37,4
Yuvraj Singh (INDIA),2017-2017,11,10,1,372,150,41.33,377,98.67,1,1,0,46,7
BJ Haddin (AUS),2014-2015,21,17,5,369,49,30.75,360,102.50,0,0,0,34,12
B Kumar (INDIA),2014-2019,72,31,10,341,53*,16.23,474,71.94,0,1,4,26,5
KL Rahul (INDIA),2016-2018,13,12,3,317,100*,35.22,393,80.66,1,2,1,25,5
