Teams,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS,Start Date
"Australia v India at Melbourne, 2014/15",1,0,1,0,0,0.000,33.37,5.34,1,267,-,18 Jan 2015
"Australia v India at Sydney, 2014/15",1,0,0,0,1,0.000,34.50,4.31,1,69,-,26 Jan 2015
"Australia v India at Sydney, 2014/15",1,0,1,0,0,0.000,23.30,4.97,1,233,233,26 Mar 2015
"Australia v India at Perth, 2015/16",1,0,1,0,0,0.000,103.00,6.18,1,309,-,12 Jan 2016
"Australia v India at Brisbane, 2015/16",1,0,1,0,0,0.000,38.50,6.16,1,308,-,15 Jan 2016
"Australia v India at Melbourne, 2015/16",1,0,1,0,0,0.000,49.16,5.90,1,295,-,17 Jan 2016
"Australia v India at Canberra, 2015/16",1,0,1,0,0,0.000,32.30,6.54,1,323,323,20 Jan 2016
"Australia v India at Sydney, 2015/16",1,1,0,0,0,-,82.75,6.66,1,331,-,23 Jan 2016
"India v Australia at Chennai, 2017/18",1,1,0,0,0,-,40.14,5.62,1,281,-,17 Sep 2017
"India v Australia at Kolkata, 2017/18",1,1,0,0,0,-,25.20,5.04,1,252,252,21 Sep 2017
"India v Australia at Indore, 2017/18",1,1,0,0,0,-,58.80,6.14,1,294,-,24 Sep 2017
"India v Australia at Bengaluru, 2017/18",1,0,1,0,0,0.000,39.12,6.26,1,313,-,28 Sep 2017
"India v Australia at Nagpur, 2017/18",1,1,0,0,0,-,81.00,5.67,1,243,-,1 Oct 2017
"Australia v India at Sydney, 2018/19",1,0,1,0,0,0.000,28.22,5.08,1,254,-,12 Jan 2019
"Australia v India at Adelaide, 2018/19",1,1,0,0,0,-,74.75,6.06,1,299,-,15 Jan 2019
"Australia v India at Melbourne, 2018/19",1,1,0,0,0,-,78.00,4.74,1,234,-,18 Jan 2019
