Teams,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS,Start Date
"Bangladesh v India at Fatullah, 2013/14",1,1,0,0,0,-,70.00,5.71,1,280,-,26 Feb 2014
"India v Sri Lanka at Fatullah, 2013/14",1,0,1,0,0,0.000,29.33,5.28,1,264,-,28 Feb 2014
"India v Pakistan at Dhaka, 2013/14",1,0,1,0,0,0.000,30.62,4.90,1,245,-,2 Mar 2014
"Afghanistan v India at Dhaka, 2013/14",1,1,0,0,0,-,80.00,4.94,1,160,-,5 Mar 2014
"Bangladesh v India at Dhaka, 2014",1,1,0,0,0,-,51.00,6.16,1,153,-,15 Jun 2014
"Bangladesh v India at Dhaka, 2014",1,1,0,0,0,-,10.50,4.11,1,105,105,17 Jun 2014
"Bangladesh v India at Dhaka, 2014",1,0,0,0,1,0.000,13.22,3.46,1,119,-,19 Jun 2014
"England v India at Cardiff, 2014",1,1,0,0,0,-,50.66,6.08,1,304,-,27 Aug 2014
"England v India at Nottingham, 2014",1,1,0,0,0,-,57.00,5.30,1,228,-,30 Aug 2014
"England v India at Birmingham, 2014",1,1,0,0,0,-,212.00,6.95,1,212,-,2 Sep 2014
"England v India at Leeds, 2014",1,0,1,0,0,0.000,25.30,5.19,1,253,253,5 Sep 2014
"India v West Indies at Kochi, 2014/15",1,0,1,0,0,0.000,19.70,4.80,1,197,197,8 Oct 2014
"India v West Indies at Delhi, 2014/15",1,1,0,0,0,-,37.57,5.26,1,263,-,11 Oct 2014
"India v West Indies at Dharamsala, 2014/15",1,1,0,0,0,-,55.00,6.60,1,330,-,17 Oct 2014
"India v Sri Lanka at Cuttack, 2014/15",1,1,0,0,0,-,72.60,7.26,1,363,-,2 Nov 2014
"India v Sri Lanka at Ahmedabad, 2014/15",1,1,0,0,0,-,68.75,6.17,1,275,-,6 Nov 2014
"India v Sri Lanka at Hyderabad (Deccan), 2014/15",1,1,0,0,0,-,61.25,5.54,1,245,-,9 Nov 2014
"India v Sri Lanka at Kolkata, 2014/15",1,1,0,0,0,-,80.80,8.08,1,404,-,13 Nov 2014
"India v Sri Lanka at Ranchi, 2014/15",1,1,0,0,0,-,41.14,5.91,1,288,-,16 Nov 2014
