Player,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
MS Dhoni (INDIA),2014-2019,95,2369,134,43.87,1,-,-,-,-,87,39,-
V Kohli (INDIA),2014-2019,92,5088,160*,70.66,21,0,-,-,0,46,0,-
S Dhawan (INDIA),2014-2019,88,3866,137,46.57,10,-,-,-,-,46,0,-
RG Sharma (INDIA),2014-2019,82,4489,264,63.22,18,0,-,-,0,34,0,-
AJ Finch (AUS),2014-2019,76,2672,135,37.11,8,0,-,-,0,34,0,-
SPD Smith (AUS),2014-2018,74,3032,164,48.12,8,5,3/16,30.20,0,47,0,17.92
B Kumar (INDIA),2014-2019,72,341,53*,16.23,0,80,5/42,36.00,1,13,0,-19.76
AM Rahane (INDIA),2014-2018,67,2449,111,40.14,3,-,-,-,-,37,0,-
GJ Maxwell (AUS),2014-2019,66,1706,102,31.59,1,35,4/46,35.65,0,44,0,-4.06
DA Warner (AUS),2014-2018,64,3056,179,51.79,12,-,-,-,-,38,0,-
MA Starc (AUS),2014-2018,56,158,29*,8.31,0,108,6/28,21.96,2,15,0,-13.64
KM Jadhav (INDIA),2014-2019,54,1002,120,43.56,2,25,3/23,31.56,0,26,0,12.00
MS Wade (AUS),2014-2017,52,985,100*,29.84,1,-,-,-,-,65,2,-
GJ Bailey (AUS),2014-2016,51,1397,112,31.75,1,-,-,-,-,25,0,-
RA Jadeja (INDIA),2014-2019,50,523,87,27.52,0,58,4/28,39.70,0,18,0,-12.18
MR Marsh (AUS),2014-2018,49,1389,102*,37.54,1,43,5/33,35.34,1,24,0,2.19
UT Yadav (INDIA),2014-2018,47,52,18*,6.50,0,76,4/31,29.69,0,17,0,-23.19
AT Rayudu (INDIA),2014-2019,46,1503,124*,51.82,3,3,1/5,33.66,0,17,0,18.16
JP Faulkner (AUS),2014-2017,45,526,50*,27.68,0,60,4/32,31.35,0,16,0,-3.66
HH Pandya (INDIA),2016-2019,45,731,83,29.24,0,44,3/31,39.72,0,19,0,-10.48
JJ Bumrah (INDIA),2016-2018,44,11,10*,2.75,0,78,5/27,21.01,1,15,0,-18.26
JR Hazlewood (AUS),2014-2018,42,37,11*,18.50,0,71,6/52,24.84,3,13,0,-6.34
TM Head (AUS),2016-2018,42,1273,128,34.40,1,12,2/22,61.41,0,12,0,-27.01
YS Chahal (INDIA),2016-2019,40,34,18*,11.33,0,71,6/42,23.83,2,10,0,-12.49
Kuldeep Yadav (INDIA),2017-2019,39,78,19,15.60,0,77,6/25,20.64,1,4,0,-5.04
AR Patel (INDIA),2014-2017,38,181,38,12.92,0,45,3/34,31.31,0,15,0,-18.38
PJ Cummins (AUS),2014-2018,37,145,36,11.15,0,58,4/24,29.63,0,6,0,-18.48
SK Raina (INDIA),2014-2018,37,1019,110*,35.13,2,11,3/45,47.27,0,22,0,-12.13
R Ashwin (INDIA),2014-2017,36,119,18,11.90,0,53,4/25,30.47,0,11,0,-18.57
Mohammed Shami (INDIA),2014-2019,34,79,25,9.87,0,67,4/35,22.68,0,14,0,-12.81
A Zampa (AUS),2016-2019,34,97,22,7.46,0,42,3/16,37.66,0,8,0,-30.20
KD Karthik (INDIA),2014-2019,24,475,64*,43.18,0,-,-,-,-,15,1,-
MP Stoinis (AUS),2015-2019,24,807,146*,42.47,1,22,3/16,43.31,0,7,0,-0.84
MK Pandey (INDIA),2015-2018,23,440,104*,36.66,1,-,-,-,-,6,0,-
BJ Haddin (AUS),2014-2015,21,369,49,30.75,0,-,-,-,-,24,1,-
MM Sharma (INDIA),2014-2015,21,31,11,7.75,0,27,4/22,29.33,0,5,0,-21.58
JW Hastings (AUS),2015-2017,18,189,51,37.80,0,34,6/45,24.88,1,3,0,12.91
UT Khawaja (AUS),2016-2019,18,569,98,35.56,0,-,-,-,-,5,0,-
SE Marsh (AUS),2015-2019,18,869,131,48.27,4,-,-,-,-,9,0,-
MG Johnson (AUS),2014-2015,17,122,27*,17.42,0,31,4/22,21.09,0,6,0,-3.66
KW Richardson (AUS),2014-2018,17,45,19,11.25,0,27,5/68,31.07,1,4,0,-19.82
SR Watson (AUS),2014-2015,17,501,82,35.78,0,5,2/39,81.80,0,4,0,-46.01
NM Coulter-Nile (AUS),2014-2018,15,71,34,10.14,0,27,4/48,24.00,0,6,0,-13.85
NM Lyon (AUS),2014-2019,15,58,30,29.00,0,17,4/44,40.82,0,2,0,-11.82
A Mishra (INDIA),2014-2016,15,29,14,5.80,0,27,5/18,24.03,1,2,0,-18.23
SM Boland (AUS),2016-2016,14,9,4,3.00,0,16,3/67,45.31,0,3,0,-42.31
STR Binny (INDIA),2014-2015,13,230,77,28.75,0,20,6/4,21.55,1,3,0,7.20
KL Rahul (INDIA),2016-2018,13,317,100*,35.22,1,-,-,-,-,6,0,-
DS Kulkarni (INDIA),2014-2016,12,27,25*,-,0,19,4/34,26.73,0,2,0,-
PSP Handscomb (AUS),2017-2019,11,300,82,30.00,0,-,-,-,-,7,0,-
Yuvraj Singh (INDIA),2017-2017,11,372,150,41.33,1,0,-,-,0,1,0,-
AC Agar (AUS),2015-2018,9,144,46,20.57,0,8,2/48,51.75,0,4,0,-31.17
AT Carey (AUS),2018-2019,9,246,47,27.33,0,-,-,-,-,6,0,-
MJ Clarke (AUS),2014-2015,9,298,74,42.57,0,1,1/14,16.00,0,6,0,26.57
TD Paine (AUS),2018-2018,9,153,34,21.85,0,-,-,-,-,16,0,-
KK Ahmed (INDIA),2018-2019,8,9,5,4.50,0,11,3/13,30.72,0,1,0,-26.22
I Sharma (INDIA),2014-2016,8,0,0,0.00,0,13,4/34,27.38,0,3,0,-27.38
RV Uthappa (INDIA),2014-2015,8,148,50,21.14,0,0,-,-,0,4,2,-
Harbhajan Singh (INDIA),2015-2015,7,47,22,15.66,0,10,2/35,32.20,0,2,0,-16.53
JA Richardson (AUS),2018-2019,7,39,16,9.75,0,13,4/26,29.46,0,1,0,-19.71
B Stanlake (AUS),2017-2019,7,4,2,1.33,0,7,3/35,46.28,0,1,0,-44.95
AJ Tye (AUS),2018-2018,7,57,19,14.25,0,12,5/46,32.66,1,1,0,-18.41
JA Burns (AUS),2015-2015,6,146,69,24.33,0,-,-,-,-,2,0,-
XJ Doherty (AUS),2014-2015,6,1,1*,-,0,4,2/54,59.25,0,2,0,-
MC Henriques (AUS),2015-2017,6,49,18,9.80,0,3,1/30,61.00,0,3,0,-51.19
SS Iyer (INDIA),2017-2018,6,210,88,42.00,0,0,-,-,0,3,0,-
WP Saha (INDIA),2014-2014,6,37,16,18.50,0,-,-,-,-,11,1,-
BB Sran (INDIA),2016-2016,6,-,-,-,-,7,3/56,38.42,0,1,0,-
PJ Hughes (AUS),2014-2014,5,166,85,33.20,0,-,-,-,-,0,0,-
SN Thakur (INDIA),2017-2018,5,22,22*,22.00,0,6,4/52,36.33,0,3,0,-14.33
CA Lynn (AUS),2017-2018,4,75,44,18.75,0,-,-,-,-,3,0,-
V Shankar (INDIA),2019-2019,4,45,45,45.00,0,0,-,-,0,3,0,-
DJM Short (AUS),2018-2018,4,83,47*,27.66,0,0,-,-,0,1,0,-
MK Tiwary (INDIA),2014-2015,4,36,22,9.00,0,0,-,-,0,1,0,-
CP Tremain (AUS),2016-2016,4,23,23*,23.00,0,7,3/64,36.42,0,1,0,-13.42
CL White (AUS),2015-2018,4,35,17,11.66,0,-,-,-,-,0,0,-
R Dhawan (INDIA),2016-2016,3,12,9,12.00,0,1,1/74,160.00,0,0,0,-147.99
Gurkeerat Singh (INDIA),2016-2016,3,13,8,6.50,0,0,-,-,0,1,0,-
S Kaul (INDIA),2018-2018,3,1,1,0.50,0,0,-,-,0,1,0,-
RR Pant (INDIA),2018-2018,3,41,24,20.50,0,-,-,-,-,3,0,-
CA Pujara (INDIA),2014-2014,3,38,27,12.66,0,-,-,-,-,0,0,-
PM Siddle (AUS),2019-2019,3,10,10*,10.00,0,2,1/48,81.00,0,0,0,-70.99
M Vijay (INDIA),2015-2015,3,86,72,28.66,0,1,1/19,37.00,0,1,0,-8.33
DJ Worrall (AUS),2016-2016,3,6,6*,-,0,1,1/43,171.00,0,1,0,-
VR Aaron (INDIA),2014-2014,2,-,-,-,-,1,1/74,100.00,0,1,0,-
JP Behrendorff (AUS),2019-2019,2,1,1*,-,0,3,2/39,30.33,0,0,0,-
